Description,Analysis results,Description Translated,Description Cleaned Translated
@cgajardop EL TITULAR DEBE MENCIONAR QUE EL ASESINO ES UN INMIGRANTE COLOMBIAMO !!!!!,1,@cgajardop THE HEADLINE SHOULD MENTION THAT THE KILLER IS A COLOMBIAN IMMIGRANT!!!!!,THE HEADLINE SHOULD MENTION THAT THE KILLER IS A COLOMBIAN IMMIGRANT!!!!!
"@____Daniel___E @BulnesUno @guardiacivil @policia Puto negro. Si lo pillo, lo reviento. O por lo menos lo intento...",1,"@____Daniel___E @BulnesUno @guardiacivil @policia Fucking black. If I catch it, I'll bust it. Or at least I try...","Fucking black. If I catch it, I'll bust it. Or at least I try. .."
@JohanRtp @miraquemiras @HechosVirales Alto panchito el colombia este llego a ir y le acomodo los dientes y le arreglo la cara de tragasable que tiene seguro le mataron al papa que amenazo con un arma al policia y le hecha la culpa a los policias,1,"@JohanRtp @miraquemiras @HechosVirales Alto panchito, this Colombian man came to go and straighten his teeth and fix his sword-swallowing face that surely killed the dad who threatened the police with a gun and blamed the police","Stop, panchito, Colombia, this one came to go and straighten his teeth and fix his sword-swallowing face. They sure killed the dad who threatened the police with a gun and blamed the police."
"Hijos de re mil putas!
Son corruptos y encima no tienen un puto criterio 
Mientras tanto el hijo de mil putas de Damico le sigue chupando la verga al negro de mierda de Tapia. https://t.co/tACjPQo3SG",1,"Sons of thousands of whores!
They are corrupt and on top of that they have no fucking criteria
Meanwhile, Damico's son of a bitch continues sucking the cock of Tapia's shitty black man. https://t.co/tACjPQo3SG","Sons of thousands of whores!
They are corrupt and on top of that they have no fucking criteria
Meanwhile, Damico's son of a bitch continues sucking the cock of Tapia's shitty black man."
@_Jordix13 pero que hace ese puto negro loco,1,@_Jordix13 but what is that fucking crazy black guy doing?,but what is that fucking crazy black guy doing?
"Por supuesto cabal 13 se olvida de decir que el asesino era un inmigrante colombiano.
Para cuando la pena de muerte?
Para cuando la expulsión masiva de delincuentes extranjeros? https://t.co/G0oVd9h5o0",1,"Of course Cabal 13 forgets to say that the murderer was a Colombian immigrant.
When is the death penalty?
When is the mass expulsion of foreign criminals? https://t.co/G0oVd9h5o0","Of course Cabal 13 forgets to say that the murderer was a Colombian immigrant.
When is the death penalty?
When is the mass expulsion of foreign criminals?"
"Me alegro de la lesión del puto negro del fracasalona debido al inflamiento mediático de la prensa Culerda y parte de la española, a mamar.",1,"I'm glad about the injury to the fucking black man from the failure due to the media inflation of the Culerda press and part of the Spanish press, to suck.","I'm glad about the injury to the fucking black man from the failure due to the media inflation of the Culerda press and part of the Spanish press, to suck."
"@NicoNavarroCABJ @patomartinez22 @CANOBoficial Ese instante es posterior a que el negro de mierda de Tevez le impacta el antebrazo y la pelota rebote en la mano del arquero. Con razón le dicen bosteros, son todos unos soretes",1,"@NicoNavarroCABJ @patomartinez22 @CANOBoficial That moment is after Tevez's black shit hits his forearm and the ball bounces off the goalkeeper's hand. No wonder they call them bosteros, they are all idiots","That moment is after Tevez's black shit hits his forearm and the ball bounces into the goalkeeper's hand. No wonder they call them bosteros, they are all idiots"
"@elsombare A cachondo lo miran las milis y sus novios, es un asco ese negro de mierda ni gracia da",1,"@elsombare The milis and their boyfriends look at him as horny, that shitty black guy is disgusting and not even funny","The milis and their boyfriends look at him as horny, that shitty black guy is disgusting and not even funny"
"dejame adivinar... inmigrante?... narco?... alguna marca o manera especial de ""firmar su obra""?... mas temprano que tarde, el mierdal que armaron, les va a llegar a la puerta... https://t.co/f9gTlHC91q",1,"Let me guess... immigrant?... drug trafficker?... some brand or special way to ""sign your work""?... sooner rather than later, the shit they put together is going to arrive at their door... https://t.co/f9gTlHC91q","let me guess. ..immigrant? ..narco? .. any brand or special way to ""sign your work""? .. sooner rather than later, the shit they put together is going to arrive at their door. .."
"Eres un simio, eres un puto simio, tienes 2 neuronas y a veces no se te empalman, mecago en tu puta madre'

Creo que nadie jamás había descrito con tanta exactitud cuánta subnormalez hay metida en este cuerpo, gracias @SrAlvija",1,"You're an ape, you're a fucking ape, you have 2 neurons and sometimes they don't connect, you're a fucking ape.

I don't think anyone has ever described so accurately how much subnormality there is in this body, thanks @SrAlvija","You're an ape, you're a fucking ape, you have 2 neurons and sometimes they don't connect, you're a fucking ape.
I don't think anyone has ever described so accurately how much subnormality there is in this body, thank you."
"@biobio Jajajaaa inmigrante sera colombiano?
Como permiten que entre esa calaña de gente.y asi como ese deben haber muchos más pululando por ahi.",1,"@biobio Hahaha, will the immigrant be Colombian?
How do they allow that kind of people to enter? And just like that, there must be many more milling around there.","Hahaha immigrant will be Colombian?
How do they allow that kind of people to enter? and just like that there must be many more milling around there."
Unpopular opinion: como bogotano me da lo mismo un inmigrante venezolano que un inmigrante paisa/costeño/caleño/etc. La diferencia es un papelito nada más.,1,"Unpopular opinion: as a Bogota native, I don't care about a Venezuelan immigrant or a paisa/costeño/caleño/etc. immigrant. The difference is nothing more than a piece of paper.","Unpopular opinion: as a Bogota native, I don't care about a Venezuelan immigrant or a paisa/costeño/caleño/etc. immigrant. The difference is nothing more than a piece of paper."
"@24HorasTVN Bien ahí, enriqueciendo la cultura y aportando a Chile. No era ese el eslogan para permitir la llegada de tanto inmigrante?",1,"@24HorasTVN Well there, enriching the culture and contributing to Chile. Wasn't that the slogan to allow the arrival of so many immigrants?","Well there, enriching the culture and contributing to Chile. Wasn't that the slogan to allow the arrival of so many immigrants?"
@Husar_Ludlow @carlosguerra53 Hay que  hecharlo  a pata' en la raja inmigrante sinvergüenza.,1,@Husar_Ludlow @carlosguerra53 You have to kick it' in the shameless immigrant rag.,You have to kick it' in the shameless immigrant crack.
"@indiigou estafador, familia de acogida en otro pais, inmigrante",1,"@indiigou scammer, host family in another country, immigrant","scammer, host family in another country, immigrant"
@24HorasTVN Para q vamos a preguntar si es inmigrante 🤷🏻‍♂️,1,@24HorasTVN Why are we going to ask if he is an immigrant 🤷🏻‍♂️,Why are we going to ask if he is an immigrant 🤷🏻‍♂️
"Holis @ClaudiaLopez un colombiano inmigrante asesinó a 8 personas en 8 días aquí en Chile, generalizamos o sería xenofobia? https://t.co/KVySw9Cotc",1,"Hello @ClaudiaLopez, a Colombian immigrant murdered 8 people in 8 days here in Chile, are we generalizing or would it be xenophobia? https://t.co/KVySw9Cotc","Hello, a Colombian immigrant murdered 8 people in 8 days here in Chile, are we generalizing or would it be xenophobia?"
@cabrerahercap Siempre el negro de mierda de Tévez.. es una mierda,1,@cabrerahercap Always the shitty black guy from Tévez... he's shit,Always the shitty black guy from Tévez. . it's bullshit
"@vidalvocero Haber. Osea es inculto porque no es progre, es xenofobo porque limita el ingreso de extranjeros y es malo ser patriota. Te digo panchito, a tu modo de pensar prefiero ser inculto, xenofobo y por supuesto patriota a ser progre.
Y aun no esta dicha la ultima palabra en USA.",1,"@vidalvocero Haber. I mean, he is uneducated because he is not progressive, he is xenophobic because he limits the entry of foreigners and it is bad to be patriotic. I tell you panchito, in your way of thinking I prefer to be uneducated, xenophobic and of course patriotic than to be progressive.
And the last word has not yet been said in the USA.","To have. I mean, he is uneducated because he is not progressive, he is xenophobic because he limits the entry of foreigners and it is bad to be patriotic. I tell you panchito, in your way of thinking I prefer to be uneducated, xenophobic and of course patriotic than to be progressive.
And the last word has not yet been said in the USA."
Que hijo de puta este negro de mierda.  Mira si vas a patear así la concha de tu hermana,1,"What a son of a bitch, this shitty nigger. See if you're going to kick your sister's pussy like this","What a son of a bitch, this shitty nigger. See if you're going to kick your sister's pussy like this"
"con tanto inmigrante, esta todo descontrolado, mientras los canarios estan encerrados en casa ellos estan en grupos sin mascarillas en la playa, pasean todas las calles, se divierten en el parque de atracciones y no importa ellos hacen lo que quieren, beben por las calles",1,"With so many immigrants, everything is out of control, while the canaries are locked up at home, they are in groups without masks on the beach, they walk all the streets, they have fun in the amusement park and it doesn't matter, they do what they want, they drink in the streets","With so many immigrants, everything is out of control, while the canaries are locked up at home, they are in groups without masks on the beach, they walk all the streets, they have fun in the amusement park and it doesn't matter, they do what they want, they drink in the streets"
Anda a vender droga negro de mierda,1,Go sell drugs shitty nigga,Go sell drugs shitty nigga
"@gonzalowinter NO a usted que le pasa porque un inmigrante que lleva menos de 5 años va participar en redactar una constitución.
Parece que no entiende nada,los independiente que son chilenos no pueden y extranjeros si.",1,"@gonzalowinter NO, what's wrong with you because an immigrant who has been there for less than 5 years is going to participate in writing a constitution.
It seems like he doesn't understand anything, independent Chileans can't and foreigners can.","NO, what's wrong with you because an immigrant who has been there for less than 5 years is going to participate in drafting a constitution.
It seems like he doesn't understand anything, independent Chileans can't and foreigners can."
@__CarlitosTevez Negro de mierda mala leche hdmp..,1,@__CarlitosTevez Black shit bad milk hdmp..,Bad shit black hdmp. .
"@molacocinar1 Si el que no se conforma, es porque no quiere. Que guevona la inmigrante.",1,"@molacocinar1 If he who does not conform, it is because he does not want to. What a cool immigrant.","If he who does not conform, it is because he does not want to. What a cool immigrant."
"@en_carcel Te cuento: un inmigrante que no quería ir a donde les llevaban, va y se sube monte arriba, se lia a tirar piedras, ahí tienes al helicóptero, a la policía, a los bomberos, aun no sé si han conseguido bajarlo. 
Ahora voy yo, llamo a los bomberos por incendio y a mi me cobran.",1,"@en_carcel I tell you: an immigrant who did not want to go where they were taken, goes and climbs up the mountain, gets involved in throwing stones, there you have the helicopter, the police, the firefighters, I still don't know if they have managed to get him down.
Now I go, call the fire brigade for a fire and they charge me.","I tell you: an immigrant who did not want to go where they were taken, goes and climbs up the mountain, starts throwing stones, there you have the helicopter, the police, the firefighters, I still don't know if they have managed to get him down.
Now I go, call the fire brigade for a fire and they charge me."
"aca el ESTADO = NOSOTROS
Bancando los viajes de este pedorro delincuente boliviano ..
sera inmune al COVID?? 
USA BARBIJO QUE TE PARIO @evoespueblo NEGRO DE MIERDA!!!!!!!! https://t.co/ub2j32HhJG",1,"here the STATE = US
Banking the trips of this Bolivian criminal fart..
Will he be immune to COVID?
USE A MASK THAT GAVE YOU @evoespueblo FUCKING BLACK!!!!!!!! https://t.co/ub2j32HhJG","here the STATE = US
Banking the travels of this Bolivian criminal fart. .
Will he be immune to COVID?
USE A MASK THAT SHIT YOU BLACK!!!!!!!!"
Que negro de mierda este quemado hijo de puta de Tevez,1,What a black shit this burnt son of a bitch from Tevez,What a black shit this burnt son of a bitch from Tevez
@Tati_Paultroni @lucianobisbal Tévez negro de mierda macrista,1,@Tati_Paultroni @lucianobisbal Tévez black macrista shit,Tévez black shit macrista
@__CarlitosTevez Negro de mierda sucio mala leche! Son todo lo que esta mal,1,@__CarlitosTevez Black shit dirty bad milk! They are everything that is wrong,Bad dirty dirty shit nigga! They are everything that is wrong
"@DiarioOle No fue un choque ole la concha de tu madre, el negro de mierda de Tevez siempre pone la plancha.",1,"@DiarioOle It wasn't a collision with your mother's pussy, that shitty black guy Tevez always puts the iron on.","It wasn't a collision with your mother's pussy, that shitty black guy Tevez always puts the iron on."
"....De eso los Españoles saben mucho, solo les pido que me hagan mejorar y dominar uno de los idiomas que mas amo en el mundo. En España y solo con Españoles, ningun sudaca de por medio, pase mi mejor verano, en el año mas importante de mi vida....",1,"....The Spanish know a lot about that, I only ask them to make me improve and master one of the languages ​​that I love most in the world. In Spain and only with Spaniards, no South Africa in between, I had my best summer, in the most important year of my life...",". ...The Spaniards know a lot about that, I only ask them to make me improve and master one of the languages ​​that I love most in the world. In Spain and only with Spaniards, without any South Africa in between, I spent my best summer, in the most important year of my life. .. ."
IMPRESIONANTE RESCATE en Canarias de un inmigrante que tiraba GRANDES PI... https://t.co/yjrmPur0sM via @YouTube  Refugiados desde luego que no son ya que en Algeria o Marruecos no hay guerra alguna,1,IMPRESSIVE RESCUE in the Canary Islands of an immigrant who was throwing BIG PI... https://t.co/yjrmPur0sM via @YouTube They are certainly not refugees since in Algeria or Morocco there is no war,IMPRESSIVE RESCUE in the Canary Islands of an immigrant who was throwing BIG PIs. .. via Refugees of course they are not since in Algeria or Morocco there is no war
"@Ferantonia28 Inmigrantes, la palabra es #Inmigrante.",1,"@Ferantonia28 Immigrants, the word is #Immigrant.","Immigrants, the word is."
"Tenés mala leche, sorete,negro de mierda https://t.co/JlYF3WCBhx",1,"You have bad temper, sorete, you fucking nigger https://t.co/JlYF3WCBhx","You have bad temper, you sorete, you fucking nigger"
"@estebancarranco Ya dejelen allá, negro de mierda",1,"@estebancarranco Leave them there, you fucking nigger","Leave them there, you fucking nigger"
"Increíble, guevonsote tu eres un inmigrante ilegal https://t.co/zGrLa6HrA8",1,"Incredible, guevonsote you are an illegal immigrant https://t.co/zGrLa6HrA8","Incredible, guevonsote you are an illegal immigrant"
"Este negro de mierda mirándole las cosas a mi amigo , lo voy hacer mierda",1,"This shitty black guy looking at my friend's things, I'm going to shit him","This shitty nigga looking at my friend's things, I'm going to shit him"
"@jpilarl @ElBaquedanocl Vi otro video de otro inmigrante desnudo por la calle corriendo, también el de una mujer. Ósea traen a Chile gente con problemas psiquiátricos y tu lo ves muy normal",1,"@jpilarl @ElBaquedanocl I saw another video of another naked immigrant running down the street, also that of a woman. I mean, they bring people with psychiatric problems to Chile and you see it as very normal.","I saw another video of another naked immigrant running down the street, also that of a woman. I mean, they bring people with psychiatric problems to Chile and you see it as very normal."
@ninofrat Amando el pobrismo sudaca y el fracaso.,1,@ninofrat Loving Sudaca poverty and failure.,Loving sudaca poverty and failure.
"Que cara de raja, esta inmigrante, no lo exigió en su país, y lo viene a exigir a nosotros, no apoyaron a sus compatriotas y viene a causar desorden público a Chile . https://t.co/ffLYxeWo0Y",1,"What a shame, this immigrant, did not demand it in her country, and she comes to demand it from us, they did not support her compatriots and she comes to cause public disorder in Chile. https://t.co/ffLYxeWo0Y","What a shame, this immigrant, did not demand it in her country, and she comes to demand it from us, they did not support her compatriots and she comes to cause public disorder in Chile."
@MartinA24666231 @ActualidadRT @sputnikvaccine Como a quien explota USA en sudaca?? Ustedes y su mediocridades su incapacidad de salir adelante por si solos quieren culpar a alguien de su desgracia?? Ustedes llevan en la sangre la corupsion. Y por eso ningunos funcionan. A llorar a su mami,1,"@MartinA24666231 @ActualidadRT @sputnikvaccine Like who does the USA exploit in Sudaca?? You and your mediocrities, your inability to get ahead on your own, want to blame someone for your misfortune? You have corruption in your blood. And that's why none of them work. To cry for his mom","Like who does the USA exploit in Sudaca? You and your mediocrities, your inability to get ahead on your own, want to blame someone for your misfortune? You have corruption in your blood. And that's why none of them work. To cry for his mom"
"@evoespueblo @alferdez Espero que no vuelvas más a mi pais. Negro de mierda, pedófilo, narco, comunista. HDP !!!😠😡",1,"@evoespueblo @alferdez I hope you don't come back to my country again. Fucking black man, pedophile, drug trafficker, communist. HDP!!!😠😡","I hope you don't come back to my country again. Fucking black man, pedophile, drug trafficker, communist. HDP!!!😠😡"
"Alemania: un inmigrante musulmán recibe 4,5 años por matar a un bombero, y un alemán 10 años por un petardo en una mezquita. https://t.co/VLVP8L4kSD",1,"Germany: A Muslim immigrant receives 4.5 years for killing a firefighter, and a German receives 10 years for a firecracker in a mosque. https://t.co/VLVP8L4kSD","Germany: A Muslim immigrant receives 4.5 years for killing a firefighter, and a German receives 10 years for a firecracker in a mosque."
@1dolar1juan Si. Prefiero pagar un aborto y no 17 años de AUH a un negro de mierda.,1,@1dolar1juan Yes. I'd rather pay for an abortion and not 17 years of AUH for a shitty black man.,Yeah. I'd rather pay for an abortion and not 17 years of AUH for a shitty black man.
@ClanNoLimit1 @FALOPAA24 @Juansval3 @douwdromen Europeo dice ser este peruano panchito 🤣😂🤣😂,1,@ClanNoLimit1 @FALOPAA24 @Juansval3 @douwdromen European claims to be this Peruvian panchito 🤣😂🤣😂,European claims to be this Peruvian panchito 🤣😂🤣😂
"TIENEN PARA:
140.000 € y pactar 100 plazas de jueces, para enchufar amigos con un gasto anual de 15.000.000 €. Para payasadas de colores rosa, mosquiteras, coches, algoritmos machistas y etc. Para 7000€ por INMIGRANTE ILEGAL. Para sus salarios SI. https://t.co/l3CxZC33kg",1,"THEY HAVE FOR:
€140,000 and agree on 100 judge positions, to connect friends with an annual expenditure of €15,000,000. For pink antics, mosquito nets, cars, sexist algorithms and etc. For €7000 per ILLEGAL IMMIGRANT. For their salaries YES. https://t.co/l3CxZC33kg","THEY HAVE FOR:
€140,000 and agree on 100 judge positions, to connect friends with an annual expenditure of €15,000,000. For pink antics, mosquito nets, cars, sexist algorithms and etc. For €7000 per ILLEGAL IMMIGRANT. For their salaries YES."
Tévez negro de mierda segundo arquero que lesionas https://t.co/cNiHbKtJl2,1,Tévez black shit second goalkeeper you injured https://t.co/cNiHbKtJl2,Tévez black shit second goalkeeper that you injure
"@salvadorsanvil1 @bohemio1962 ERES UNA INMIGRANTE.
Más claro?",1,"@salvatorsanvil1 @bohemio1962 YOU ARE AN IMMIGRANT.
More clear?","YOU ARE AN IMMIGRANT.
More clear?"
"lindo pelo para cortarlo con la trincheta dijo el negro de mierda, los pelos de la chota me podes cortar la concha de tu madre",1,"""Nice hair to cut with the knife,"" said the shitty black man, ""you can cut your mother's pussy with the hairs on my dick.""","""Nice hair to cut with the knife,"" said the shitty black man, ""you can cut your mother's pussy with the hairs on my dick."""
"@VozzFire Que güeá más estúpida , que se vaya exigir weas a su país la inmigrante conchesumare",1,"@VozzFire What a stupid girl, that the conchesumare immigrant is going to demand weas from her country","What a stupid girl, that the conchesumare immigrant is going to demand weas from her country"
"Osama Hosna: inmigrante, musulmán y héroe del atentado yihadista de Viena https://t.co/XZ3s0yeDcu",1,"Osama Hosna: immigrant, Muslim and hero of the Vienna jihadist attack https://t.co/XZ3s0yeDcu","Osama Hosna: immigrant, Muslim and hero of the Vienna jihadist attack"
"Así ha dejado la oreja un inmigrante ilegal a una mujer que tiene un estanco en Pamplona, porque no lo apetecía pagar el tabaco y la mujer ha intentado pararlo

Imagino que Irene Montero lo condenará como violencia machista intolerable.

Ah no, que si es morenito no hay delito.. https://t.co/sF9C02Ced3",1,"This is how an illegal immigrant left the ear of a woman who owns a tobacconist's shop in Pamplona, ​​because he didn't feel like paying for tobacco and the woman tried to stop him

I imagine that Irene Montero will condemn it as intolerable sexist violence.

Oh no, if he is dark-skinned there is no crime.. https://t.co/sF9C02Ced3","This is how an illegal immigrant left the ear of a woman who owns a tobacconist's shop in Pamplona, ​​because he didn't feel like paying for tobacco and the woman tried to stop him
I imagine that Irene Montero will condemn it as intolerable sexist violence.
Oh no, if he is dark-skinned there is no crime. ."
Compleja situación se vivió la semana pasada tras encontrarse un inmigrante desnudo generando daños a automóviles particulares en las calles de Santiago. https://t.co/pmNojwD5cF,1,A complex situation was experienced last week after a naked immigrant was found causing damage to private cars on the streets of Santiago. https://t.co/pmNojwD5cF,A complex situation was experienced last week after a naked immigrant was found causing damage to private cars on the streets of Santiago.
@Libertarados2 Eso que Trump no le hace asco a nada pero tampoco se va a coger una sudaca.,1,@Libertarados2 That Trump is not disgusted by anything but he is not going to take a shit either.,That Trump is not disgusted by anything but he is not going to take a shit either.
"@Lola55987592 @salvadorsanvil1 O sea, que sí es una inmigrante?. Peor todavía!",1,"@Lola55987592 @salvatorsanvil1 So, is she an immigrant? Even worse!","So, is she an immigrant? Even worse!"
Putin esta muy preocupado por lo que dice el apestoso inmigrante de Ramos... https://t.co/jVdTnZAm2n,1,Putin is very worried about what the stinking immigrant Ramos says... https://t.co/jVdTnZAm2n,Putin is very worried about what the stinking immigrant Ramos says. ..
"@ziberiaI Suficiente con que te vayas a tu puto país, sudaca",1,"@ziberiaI It's enough that you go to your fucking country, Sudaca","It's enough that you go to your fucking country, sudaca"
Mario no cree en la vacuna rusa porque es un negro de mierda que nunca estudió y además es un negro de mierda,1,Mario does not believe in the Russian vaccine because he is a shitty black man who never studied and is also a shitty black man.,Mario does not believe in the Russian vaccine because he is a shitty black man who never studied and is also a shitty black man.
"@Eligorricho @ivanedlm @gob_na @navarra_com @UPN_PNA @PSNPSOE @VoxNavarra @vox_es @DiariodeNavarra @PODEMOS No le va a pasar nada, el inmigrante pertenece a una minoría oprimida en riesgo de exclusión social, si llega a ser su novio y español la vida arruinada y anunciado a bombo en la sexta.
Ambos casos estaría igual de mal el acto, pero con distintas consecuencias para el autor.",1,"@Eligorricho @ivanedlm @gob_na @navarra_com @UPN_PNA @PSNPSOE @VoxNavarra @vox_es @DiariodeNavarra @PODEMOS Nothing will happen to him, the immigrant belongs to an oppressed minority at risk of social exclusion, if he becomes her boyfriend and Spanish life ruined and announced with great fanfare in the sixth.
In both cases the act would be equally bad, but with different consequences for the author.","Nothing will happen to her, the immigrant belongs to an oppressed minority at risk of social exclusion, if he becomes her boyfriend and Spaniard, her life ruined and advertised with hype in the sixth.
In both cases the act would be equally bad, but with different consequences for the author."
@elfanta_ de vuelta a la palmera panchito cabron,1,@elfanta_ back to the palm tree panchito bastard,back to the palm tree panchito bastard
Esto es intolerable. Ya vemos los resultados de empoderar al inmigrante ilegal https://t.co/2V0Duer6Bm,1,This is intolerable. We already see the results of empowering the illegal immigrant https://t.co/2V0Duer6Bm,This is intolerable. We already see the results of empowering the illegal immigrant
"@evoespueblo @alferdez Que suerte que te fuiste, negro de mierda",1,"@evoespueblo @alferdez How lucky you left, you fucking black","Good thing you left, you fucking nigga."
"@iunida @agarzon Hay más pobreza que nunca desde que habéis entrado. Que triste......  
Creo que es mejor ser inmigrante o venir en patera, te ayudan más para prosperar.
Venga k la gente siga vitando a ésta panda....
a ver quien se toma una Cocacola en un bar ahora.....",1,"@iunida @agarzon There is more poverty than ever since you entered. How sad......
I think it is better to be an immigrant or come by boat, they help you more to prosper.
Come on, let people continue to love this gang....
Let's see who drinks a Cocacola in a bar now.....","There is more poverty than ever since you have entered. How sad. .. .. .
I think it is better to be an immigrant or come by boat, they help you more to prosper.
Come on, people continue to love this bunch. .. .
Let's see who drinks a Cocacola in a bar now. .. .."
"@Eligorricho @gob_na @navarra_com @UPN_PNA @PSNPSOE @VoxNavarra @vox_es @DiariodeNavarra @PODEMOS Que fuerte que hdp, y este ataque no lo va a denunciar la ministra de igual-da porque la agresora es una inmigrante y tienen más derecho que nosotros, pagar tampoco porque no tendrá ni una cuenta, un día en el calabozo y un bocadillo y a la calle así está es la España",1,"@Eligorricho @gob_na @navarra_com @UPN_PNA @PSNPSOE @VoxNavarra @vox_es @DiariodeNavarra @PODEMOS How strong HDP is, and the minister is not going to denounce this attack anyway because the aggressor is an immigrant and they have more rights than us, pay neither because he will not even have a bill, a day in the cell and a sandwich and on the street this is Spain","How strong is HDP, and the minister is not going to report this attack anyway because the aggressor is an immigrant and they have more right than us, to pay either because she won't even have a bill, a day in the cell and a sandwich and The street is like this, it is Spain"
@radiomitre No vuelvas nunca más negro de mierda,1,@radiomitre Don't ever come back again black shit,Don't ever come back again black shit
"Para el que labura y se rompe el lomo pagando los impuestos mil vueltas, para un negro de mierda que no tiene ningún papel que se asocia con un abogado tranfuga igual a él y se quieren apropiar de lo que no es suyo todo perfecto, que lindo país, que linda ciudad.",1,"For the one who works and breaks his back paying taxes thousands of times, for a shitty black man who has no role who associates with a lawyer who turns away just like him and they want to take over what is not his, everything is perfect, how nice country, what a beautiful city.","For the one who works and breaks his back paying taxes thousands of times, for a shitty black man who has no role who associates with a lawyer who turns away just like him and they want to take over what is not his, everything is perfect, how nice country, what a beautiful city."
@Atleti_Colombia Hombre un panchito,1,@Atleti_Colombia Man a panchito,Man a panchito
